departamento,date,cases
Chinandega,2020-03-27,1
Chinandega,2020-03-28,3
Chinandega,2020-03-30,1
Chinandega,2020-04-01,1
Chinandega,2020-04-05,2
Chinandega,2020-04-12,1
Chinandega,2020-04-18,1
Chinandega,2020-04-26,4
Chinandega,2020-04-28,2
Chinandega,2020-04-29,2
Chinandega,2020-05-01,4
Chinandega,2020-05-02,7
Chinandega,2020-05-03,9
Chinandega,2020-05-04,11
Chinandega,2020-05-05,2
Chinandega,2020-05-06,6
Chinandega,2020-05-07,5
Chinandega,2020-05-08,3
Chinandega,2020-05-09,4
Chinandega,2020-05-10,6
Chinandega,2020-05-11,9
Chinandega,2020-05-12,11
Chinandega,2020-05-13,2
Chinandega,2020-05-14,3
Chinandega,2020-05-15,10
Chinandega,2020-05-16,11
Chinandega,2020-05-17,5
Chinandega,2020-05-18,4
Chinandega,2020-05-19,2
Chinandega,2020-05-20,8
Chinandega,2020-05-21,11
Chinandega,2020-05-22,2
Chinandega,2020-05-23,3
Chinandega,2020-05-24,10
Chinandega,2020-05-25,6
Chinandega,2020-05-26,2
Chinandega,2020-05-27,4
Chinandega,2020-05-28,11
Chinandega,2020-05-29,3
Chinandega,2020-05-30,4
Chinandega,2020-05-31,4
Chinandega,2020-06-01,16
Chinandega,2020-06-02,5
Chinandega,2020-06-03,5
Chinandega,2020-06-04,2
Chinandega,2020-06-05,2
Chinandega,2020-06-06,4
Chinandega,2020-06-07,2
Chinandega,2020-06-08,4
Chinandega,2020-06-09,2
Chinandega,2020-06-14,4
Chinandega,2020-06-15,9
Chinandega,2020-06-16,3
Chinandega,2020-06-17,2
Chinandega,2020-06-18,1
Chinandega,2020-06-21,6
Chinandega,2020-06-22,1
Chinandega,2020-06-23,1
Chinandega,2020-06-24,3
Chinandega,2020-06-27,1
Chinandega,2020-06-28,2
Chinandega,2020-07-01,1
Chinandega,2020-07-05,8
Chinandega,2020-07-06,2
Chinandega,2020-07-09,2
Chinandega,2020-07-10,1
Chinandega,2020-07-12,1
Chinandega,2020-07-13,2
Chinandega,2020-07-15,2
Chinandega,2020-07-20,5
Chinandega,2020-07-21,6
Chinandega,2020-07-22,1
Chinandega,2020-07-23,1
Chinandega,2020-08-12,4
Chinandega,2020-08-13,1
Chinandega,2020-08-15,7
Chinandega,2020-08-16,1
Chinandega,2020-08-17,2
Chinandega,2020-08-18,2
Chinandega,2020-08-31,1
Chinandega,2020-09-03,1
Chinandega,2020-09-09,2
Chinandega,2020-09-12,3
Chinandega,2020-09-14,1
Chinandega,2020-09-21,2
Chinandega,2020-09-22,1
Chinandega,2020-09-26,10
Chinandega,2020-10-14,3
Chinandega,2020-11-02,3
Chinandega,2020-11-10,7
Chinandega,2020-11-17,1
Chinandega,2020-12-02,2
Chinandega,2020-12-15,2
Chinandega,2021-01-05,1
Chinandega,2021-01-06,3
Chinandega,2021-01-07,1
Chinandega,2021-01-11,2
Chinandega,2021-01-16,1
Chinandega,2021-01-21,3
Chinandega,2021-01-23,1
Chinandega,2021-01-25,1
Chinandega,2021-02-03,4
Chinandega,2021-02-04,4
Chinandega,2021-02-15,1
Chinandega,2021-03-05,1
Chinandega,2021-04-04,35
Chinandega,2021-04-11,2
Chinandega,2021-04-12,1
Chinandega,2021-04-14,1
Chinandega,2021-04-25,9
Chinandega,2021-04-27,3
Chinandega,2021-04-28,11
Chinandega,2021-04-30,1
Chinandega,2021-05-05,1
Chinandega,2021-05-07,2
Chinandega,2021-05-08,1
Chinandega,2021-05-09,1
Chinandega,2021-05-10,3
Chinandega,2021-05-11,3
Chinandega,2021-05-13,2
Chinandega,2021-05-14,1
Chinandega,2021-05-15,80
Chinandega,2021-05-18,2
Chinandega,2021-05-20,1
Chinandega,2021-05-23,5
Chinandega,2021-05-28,7
Chinandega,2021-05-29,1
Chinandega,2021-05-31,1
Chinandega,2021-06-11,14
Chinandega,2021-06-14,3
Chinandega,2021-06-28,1
Chinandega,2021-06-29,1
Chinandega,2021-07-08,6
Chinandega,2021-07-09,1
Chinandega,2021-08-03,1
Chinandega,2021-08-04,3
Chinandega,2021-08-08,1
Chinandega,2021-08-22,1
Chinandega,2021-08-25,2
Chinandega,2021-08-27,5
Chinandega,2021-08-28,1
Chinandega,2021-08-29,1
Chinandega,2021-09-01,3
Chinandega,2021-09-02,18
Chinandega,2021-09-04,3
Chinandega,2021-09-05,1
Chinandega,2021-09-06,1
Chinandega,2021-09-07,5
Chontales,2020-03-24,3
Chontales,2020-03-30,2
Chontales,2020-04-05,1
Chontales,2020-04-10,2
Chontales,2020-04-17,18
Chontales,2020-04-19,1
Chontales,2020-05-06,4
Chontales,2020-05-07,2
Chontales,2020-05-08,1
Chontales,2020-05-14,1
Chontales,2020-05-16,9
Chontales,2020-05-18,3
Chontales,2020-05-22,2
Chontales,2020-05-24,4
Chontales,2020-05-25,1
Chontales,2020-05-26,1
Chontales,2020-05-27,3
Chontales,2020-05-28,2
Chontales,2020-05-31,1
Chontales,2020-06-01,2
Chontales,2020-06-03,2
Chontales,2020-06-05,1
Chontales,2020-06-06,1
Chontales,2020-06-07,2
Chontales,2020-06-08,1
Chontales,2020-06-11,3
Chontales,2020-06-12,2
Chontales,2020-06-13,2
Chontales,2020-06-14,1
Chontales,2020-06-15,5
Chontales,2020-06-16,1
Chontales,2020-06-17,4
Chontales,2020-06-18,15
Chontales,2020-06-19,5
Chontales,2020-06-20,2
Chontales,2020-06-21,1
Chontales,2020-06-22,1
Chontales,2020-06-25,2
Chontales,2020-06-26,1
Chontales,2020-06-27,2
Chontales,2020-06-28,1
Chontales,2020-06-29,4
Chontales,2020-06-30,3
Chontales,2020-07-01,5
Chontales,2020-07-04,2
Chontales,2020-07-05,1
Chontales,2020-07-07,1
Chontales,2020-07-09,13
Chontales,2020-07-10,1
Chontales,2020-07-11,1
Chontales,2020-07-13,2
Chontales,2020-07-14,1
Chontales,2020-07-15,1
Chontales,2020-07-17,2
Chontales,2020-07-20,10
Chontales,2020-07-21,1
Chontales,2020-07-25,1
Chontales,2020-07-26,2
Chontales,2020-07-27,2
Chontales,2020-07-30,1
Chontales,2020-07-31,1
Chontales,2020-08-01,5
Chontales,2020-08-02,1
Chontales,2020-08-03,2
Chontales,2020-08-04,1
Chontales,2020-08-08,1
Chontales,2020-08-17,2
Chontales,2020-08-18,1
Chontales,2020-08-19,1
Chontales,2020-09-03,2
Chontales,2020-09-09,3
Chontales,2020-09-16,2
Chontales,2020-09-17,1
Chontales,2020-10-07,1
Chontales,2020-11-24,11
Chontales,2020-11-29,1
Chontales,2020-12-14,1
Chontales,2021-01-04,5
Chontales,2021-01-26,2
Chontales,2021-04-02,1
Chontales,2021-04-05,5
Chontales,2021-04-06,1
Chontales,2021-04-17,1
Chontales,2021-04-23,5
Chontales,2021-05-05,1
Chontales,2021-05-10,1
Chontales,2021-05-11,10
Chontales,2021-05-15,1
Chontales,2021-05-16,5
Chontales,2021-05-22,1
Chontales,2021-05-25,1
Chontales,2021-05-30,4
Chontales,2021-06-01,25
Chontales,2021-06-03,4
Chontales,2021-06-05,1
Chontales,2021-06-06,2
Chontales,2021-06-07,3
Chontales,2021-06-11,2
Chontales,2021-06-25,1
Chontales,2021-06-30,3
Chontales,2021-07-07,3
Chontales,2021-07-08,1
Chontales,2021-07-11,2
Chontales,2021-07-13,5
Chontales,2021-07-27,2
Chontales,2021-07-29,1
Chontales,2021-08-03,1
Chontales,2021-08-04,3
Chontales,2021-08-08,5
Chontales,2021-08-09,1
Chontales,2021-08-16,21
Chontales,2021-08-17,3
Chontales,2021-08-22,43
Chontales,2021-08-23,2
Chontales,2021-08-25,45
Chontales,2021-08-26,7
Chontales,2021-08-27,2
Chontales,2021-08-28,3
Chontales,2021-08-29,7
Chontales,2021-08-30,15
Chontales,2021-08-31,13
Chontales,2021-09-01,10
Chontales,2021-09-02,55
Chontales,2021-09-03,2
Chontales,2021-09-04,5
Chontales,2021-09-05,9
Chontales,2021-09-06,4
Chontales,2021-09-07,1
Esteli,2020-03-18,8
Esteli,2020-03-19,4
Esteli,2020-03-23,1
Esteli,2020-03-24,1
Esteli,2020-03-28,2
Esteli,2020-03-30,2
Esteli,2020-04-07,1
Esteli,2020-04-08,1
Esteli,2020-04-18,2
Esteli,2020-04-20,2
Esteli,2020-04-24,1
Esteli,2020-04-28,1
Esteli,2020-04-29,3
Esteli,2020-05-03,2
Esteli,2020-05-05,1
Esteli,2020-05-11,4
Esteli,2020-05-14,1
Esteli,2020-05-16,3
Esteli,2020-05-17,1
Esteli,2020-05-19,3
Esteli,2020-05-20,3
Esteli,2020-05-21,5
Esteli,2020-05-22,1
Esteli,2020-05-24,1
Esteli,2020-05-25,23
Esteli,2020-05-26,2
Esteli,2020-05-27,4
Esteli,2020-05-28,3
Esteli,2020-05-30,1
Esteli,2020-05-31,2
Esteli,2020-06-01,4
Esteli,2020-06-02,12
Esteli,2020-06-03,7
Esteli,2020-06-04,9
Esteli,2020-06-05,5
Esteli,2020-06-06,2
Esteli,2020-06-07,11
Esteli,2020-06-08,9
Esteli,2020-06-09,7
Esteli,2020-06-10,3
Esteli,2020-06-11,4
Esteli,2020-06-12,7
Esteli,2020-06-13,6
Esteli,2020-06-14,7
Esteli,2020-06-15,11
Esteli,2020-06-16,31
Esteli,2020-06-17,56
Esteli,2020-06-18,11
Esteli,2020-06-19,8
Esteli,2020-06-20,15
Esteli,2020-06-21,9
Esteli,2020-06-22,7
Esteli,2020-06-23,1
Esteli,2020-06-24,2
Esteli,2020-06-26,1
Esteli,2020-06-27,2
Esteli,2020-06-28,5
Esteli,2020-06-29,2
Esteli,2020-06-30,3
Esteli,2020-07-01,39
Esteli,2020-07-02,6
Esteli,2020-07-03,9
Esteli,2020-07-04,2
Esteli,2020-07-05,6
Esteli,2020-07-06,13
Esteli,2020-07-07,14
Esteli,2020-07-08,9
Esteli,2020-07-09,7
Esteli,2020-07-11,5
Esteli,2020-07-12,7
Esteli,2020-07-13,6
Esteli,2020-07-14,7
Esteli,2020-07-15,1
Esteli,2020-07-16,6
Esteli,2020-07-17,1
Esteli,2020-07-18,4
Esteli,2020-07-20,6
Esteli,2020-07-21,8
Esteli,2020-07-23,16
Esteli,2020-07-25,1
Esteli,2020-07-28,4
Esteli,2020-07-30,2
Esteli,2020-08-01,3
Esteli,2020-08-02,1
Esteli,2020-08-03,2
Esteli,2020-08-04,2
Esteli,2020-08-05,1
Esteli,2020-08-06,4
Esteli,2020-08-11,1
Esteli,2020-08-12,13
Esteli,2020-08-13,6
Esteli,2020-08-16,1
Esteli,2020-08-18,4
Esteli,2020-08-20,1
Esteli,2020-08-21,31
Esteli,2020-08-22,15
Esteli,2020-08-23,4
Esteli,2020-08-24,4
Esteli,2020-08-25,3
Esteli,2020-08-27,1
Esteli,2020-08-28,2
Esteli,2020-08-30,4
Esteli,2020-08-31,4
Esteli,2020-09-04,1
Esteli,2020-09-11,18
Esteli,2020-09-15,2
Esteli,2020-09-16,11
Esteli,2020-09-22,1
Esteli,2020-09-23,4
Esteli,2020-10-01,2
Esteli,2020-10-06,2
Esteli,2020-10-27,3
Esteli,2020-11-01,2
Esteli,2020-11-03,8
Esteli,2020-11-08,6
Esteli,2020-11-10,1
Esteli,2020-11-15,2
Esteli,2020-11-16,1
Esteli,2020-11-17,1
Esteli,2020-11-24,2
Esteli,2020-11-26,2
Esteli,2020-11-28,4
Esteli,2020-11-30,1
Esteli,2020-12-01,3
Esteli,2020-12-02,6
Esteli,2020-12-03,1
Esteli,2020-12-07,4
Esteli,2020-12-14,1
Esteli,2020-12-15,1
Esteli,2020-12-18,5
Esteli,2020-12-25,1
Esteli,2021-01-01,4
Esteli,2021-01-04,1
Esteli,2021-01-05,3
Esteli,2021-01-06,1
Esteli,2021-01-07,1
Esteli,2021-01-12,3
Esteli,2021-01-14,5
Esteli,2021-01-19,1
Esteli,2021-01-20,2
Esteli,2021-01-24,1
Esteli,2021-01-25,2
Esteli,2021-01-27,1
Esteli,2021-02-04,1
Esteli,2021-02-11,2
Esteli,2021-02-16,3
Esteli,2021-02-17,70
Esteli,2021-02-19,5
Esteli,2021-02-20,1
Esteli,2021-03-02,3
Esteli,2021-03-04,2
Esteli,2021-03-21,3
Esteli,2021-04-04,3
Esteli,2021-04-12,2
Esteli,2021-04-19,1
Esteli,2021-04-21,3
Esteli,2021-04-23,2
Esteli,2021-04-24,2
Esteli,2021-04-26,4
Esteli,2021-04-27,1
Esteli,2021-05-05,2
Esteli,2021-05-07,4
Esteli,2021-05-08,7
Esteli,2021-05-10,1
Esteli,2021-05-11,6
Esteli,2021-05-12,30
Esteli,2021-05-13,7
Esteli,2021-05-16,3
Esteli,2021-05-17,2
Esteli,2021-05-18,1
Esteli,2021-05-19,21
Esteli,2021-05-20,20
Esteli,2021-05-23,6
Esteli,2021-05-26,2
Esteli,2021-05-28,1
Esteli,2021-05-29,2
Esteli,2021-05-30,3
Esteli,2021-06-01,1
Esteli,2021-06-02,20
Esteli,2021-06-04,4
Esteli,2021-06-05,2
Esteli,2021-06-06,1
Esteli,2021-06-08,2
Esteli,2021-06-11,1
Esteli,2021-06-13,2
Esteli,2021-06-16,2
Esteli,2021-06-22,1
Esteli,2021-06-27,5
Esteli,2021-06-29,1
Esteli,2021-07-02,1
Esteli,2021-07-04,9
Esteli,2021-07-07,3
Esteli,2021-07-08,1
Esteli,2021-07-10,1
Esteli,2021-07-11,2
Esteli,2021-07-12,2
Esteli,2021-07-15,1
Esteli,2021-07-16,3
Esteli,2021-07-18,5
Esteli,2021-07-19,2
Esteli,2021-07-20,1
Esteli,2021-07-21,22
Esteli,2021-07-22,3
Esteli,2021-07-25,6
Esteli,2021-07-26,1
Esteli,2021-07-27,3
Esteli,2021-07-28,1
Esteli,2021-07-31,4
Esteli,2021-08-01,4
Esteli,2021-08-02,3
Esteli,2021-08-03,13
Esteli,2021-08-04,5
Esteli,2021-08-05,9
Esteli,2021-08-06,4
Esteli,2021-08-07,14
Esteli,2021-08-08,6
Esteli,2021-08-09,10
Esteli,2021-08-10,1
Esteli,2021-08-12,15
Esteli,2021-08-13,2
Esteli,2021-08-14,13
Esteli,2021-08-15,18
Esteli,2021-08-16,15
Esteli,2021-08-17,27
Esteli,2021-08-18,6
Esteli,2021-08-19,8
Esteli,2021-08-20,84
Esteli,2021-08-21,2
Esteli,2021-08-22,3
Esteli,2021-08-23,3
Esteli,2021-08-24,42
Esteli,2021-08-25,19
Esteli,2021-08-26,9
Esteli,2021-08-27,7
Esteli,2021-08-28,9
Esteli,2021-08-29,20
Esteli,2021-08-30,12
Esteli,2021-08-31,6
Esteli,2021-09-01,4
Esteli,2021-09-02,10
Esteli,2021-09-03,7
Esteli,2021-09-04,5
Esteli,2021-09-05,3
Esteli,2021-09-06,22
Esteli,2021-09-07,7
Granada,2020-03-18,2
Granada,2020-04-06,1
Granada,2020-04-17,5
Granada,2020-04-18,1
Granada,2020-04-19,1
Granada,2020-04-20,3
Granada,2020-04-23,1
Granada,2020-04-24,1
Granada,2020-05-01,6
Granada,2020-05-04,3
Granada,2020-05-05,3
Granada,2020-05-06,5
Granada,2020-05-07,6
Granada,2020-05-08,3
Granada,2020-05-09,2
Granada,2020-05-10,1
Granada,2020-05-11,6
Granada,2020-05-12,2
Granada,2020-05-13,3
Granada,2020-05-14,1
Granada,2020-05-15,2
Granada,2020-05-16,3
Granada,2020-05-17,3
Granada,2020-05-18,1
Granada,2020-05-19,1
Granada,2020-05-20,3
Granada,2020-05-22,3
Granada,2020-05-25,1
Granada,2020-05-26,26
Granada,2020-05-27,3
Granada,2020-05-28,4
Granada,2020-05-29,2
Granada,2020-05-30,1
Granada,2020-05-31,3
Granada,2020-06-01,2
Granada,2020-06-02,6
Granada,2020-06-03,29
Granada,2020-06-04,2
Granada,2020-06-05,3
Granada,2020-06-06,4
Granada,2020-06-07,2
Granada,2020-06-08,4
Granada,2020-06-10,1
Granada,2020-06-11,5
Granada,2020-06-13,1
Granada,2020-06-14,2
Granada,2020-06-15,3
Granada,2020-06-16,2
Granada,2020-06-18,2
Granada,2020-06-22,4
Granada,2020-06-25,1
Granada,2020-06-26,1
Granada,2020-06-28,4
Granada,2020-07-01,1
Granada,2020-07-02,2
Granada,2020-07-03,3
Granada,2020-07-05,13
Granada,2020-07-07,3
Granada,2020-07-09,2
Granada,2020-07-11,1
Granada,2020-07-12,1
Granada,2020-07-15,4
Granada,2020-07-16,2
Granada,2020-07-17,3
Granada,2020-07-19,3
Granada,2020-07-20,12
Granada,2020-07-23,5
Granada,2020-07-25,3
Granada,2020-07-28,1
Granada,2020-08-02,2
Granada,2020-08-04,1
Granada,2020-08-05,1
Granada,2020-08-08,2
Granada,2020-08-10,6
Granada,2020-08-12,2
Granada,2020-08-13,1
Granada,2020-08-17,1
Granada,2020-08-26,17
Granada,2020-09-02,1
Granada,2020-09-03,1
Granada,2020-09-05,4
Granada,2020-09-30,1
Granada,2020-10-01,1
Granada,2020-10-19,2
Granada,2020-11-04,1
Granada,2020-11-05,5
Granada,2020-11-14,1
Granada,2020-11-17,3
Granada,2020-11-29,1
Granada,2020-12-01,5
Granada,2020-12-15,15
Granada,2020-12-17,1
Granada,2020-12-24,1
Granada,2021-01-04,2
Granada,2021-01-10,1
Granada,2021-01-22,1
Granada,2021-04-04,11
Granada,2021-04-05,1
Granada,2021-04-18,1
Granada,2021-04-21,9
Granada,2021-04-24,1
Granada,2021-04-26,9
Granada,2021-04-28,3
Granada,2021-04-29,32
Granada,2021-05-11,1
Granada,2021-05-12,1
Granada,2021-05-26,17
Granada,2021-05-30,1
Granada,2021-06-10,2
Granada,2021-06-13,1
Granada,2021-06-15,1
Granada,2021-06-22,19
Granada,2021-06-30,1
Granada,2021-07-04,2
Granada,2021-07-07,2
Granada,2021-07-09,8
Granada,2021-07-14,2
Granada,2021-07-15,1
Granada,2021-07-20,1
Granada,2021-08-15,3
Granada,2021-08-19,1
Granada,2021-08-20,1
Granada,2021-08-25,2
Granada,2021-08-26,1
Granada,2021-08-27,1
Granada,2021-08-31,7
Granada,2021-09-02,1
Granada,2021-09-04,13
Granada,2021-09-05,1
Granada,2021-09-07,2
Jinotega,2020-03-26,1
Jinotega,2020-04-16,1
Jinotega,2020-05-02,2
Jinotega,2020-05-03,1
Jinotega,2020-05-06,2
Jinotega,2020-05-07,1
Jinotega,2020-05-08,4
Jinotega,2020-05-11,1
Jinotega,2020-05-12,1
Jinotega,2020-05-14,2
Jinotega,2020-05-15,1
Jinotega,2020-05-17,2
Jinotega,2020-05-19,1
Jinotega,2020-05-20,4
Jinotega,2020-05-23,5
Jinotega,2020-05-24,1
Jinotega,2020-05-26,1
Jinotega,2020-05-27,3
Jinotega,2020-05-29,2
Jinotega,2020-05-30,23
Jinotega,2020-05-31,8
Jinotega,2020-06-01,3
Jinotega,2020-06-02,14
Jinotega,2020-06-03,7
Jinotega,2020-06-04,8
Jinotega,2020-06-05,6
Jinotega,2020-06-06,1
Jinotega,2020-06-07,5
Jinotega,2020-06-08,9
Jinotega,2020-06-09,2
Jinotega,2020-06-10,2
Jinotega,2020-06-11,12
Jinotega,2020-06-12,5
Jinotega,2020-06-13,5
Jinotega,2020-06-14,4
Jinotega,2020-06-15,29
Jinotega,2020-06-16,17
Jinotega,2020-06-17,4
Jinotega,2020-06-18,3
Jinotega,2020-06-19,2
Jinotega,2020-06-20,2
Jinotega,2020-06-21,11
Jinotega,2020-06-22,9
Jinotega,2020-06-24,2
Jinotega,2020-06-25,1
Jinotega,2020-06-26,2
Jinotega,2020-06-27,1
Jinotega,2020-06-29,6
Jinotega,2020-06-30,4
Jinotega,2020-07-01,1
Jinotega,2020-07-03,2
Jinotega,2020-07-04,2
Jinotega,2020-07-05,3
Jinotega,2020-07-06,5
Jinotega,2020-07-07,2
Jinotega,2020-07-08,2
Jinotega,2020-07-09,5
Jinotega,2020-07-12,6
Jinotega,2020-07-14,5
Jinotega,2020-07-15,1
Jinotega,2020-07-16,3
Jinotega,2020-07-19,1
Jinotega,2020-07-25,1
Jinotega,2020-07-26,2
Jinotega,2020-07-29,2
Jinotega,2020-08-01,5
Jinotega,2020-08-02,1
Jinotega,2020-08-03,6
Jinotega,2020-08-04,2
Jinotega,2020-08-06,1
Jinotega,2020-08-11,3
Jinotega,2020-08-12,3
Jinotega,2020-08-13,12
Jinotega,2020-08-26,1
Jinotega,2020-09-01,2
Jinotega,2020-09-03,1
Jinotega,2020-09-07,1
Jinotega,2020-09-12,9
Jinotega,2020-09-16,11
Jinotega,2020-09-26,6
Jinotega,2020-09-27,4
Jinotega,2020-10-02,2
Jinotega,2020-10-03,1
Jinotega,2020-10-13,1
Jinotega,2020-11-14,4
Jinotega,2020-11-15,3
Jinotega,2020-11-16,4
Jinotega,2020-11-17,2
Jinotega,2020-11-30,1
Jinotega,2020-12-02,1
Jinotega,2020-12-10,9
Jinotega,2020-12-11,1
Jinotega,2020-12-14,1
Jinotega,2020-12-15,6
Jinotega,2021-01-04,1
Jinotega,2021-01-06,1
Jinotega,2021-01-12,20
Jinotega,2021-01-16,1
Jinotega,2021-01-20,6
Jinotega,2021-01-25,1
Jinotega,2021-02-01,4
Jinotega,2021-02-10,3
Jinotega,2021-02-24,8
Jinotega,2021-02-26,1
Jinotega,2021-02-28,1
Jinotega,2021-03-02,26
Jinotega,2021-03-10,1
Jinotega,2021-03-28,6
Jinotega,2021-04-01,13
Jinotega,2021-04-16,1
Jinotega,2021-04-17,1
Jinotega,2021-04-20,2
Jinotega,2021-04-21,2
Jinotega,2021-04-22,1
Jinotega,2021-04-23,3
Jinotega,2021-04-25,27
Jinotega,2021-04-26,6
Jinotega,2021-04-29,5
Jinotega,2021-04-30,6
Jinotega,2021-05-02,63
Jinotega,2021-05-03,51
Jinotega,2021-05-04,11
Jinotega,2021-05-07,3
Jinotega,2021-05-09,4
Jinotega,2021-05-11,127
Jinotega,2021-05-12,17
Jinotega,2021-05-13,17
Jinotega,2021-05-17,18
Jinotega,2021-05-18,26
Jinotega,2021-05-19,10
Jinotega,2021-05-20,6
Jinotega,2021-05-21,4
Jinotega,2021-05-22,8
Jinotega,2021-05-23,6
Jinotega,2021-05-24,13
Jinotega,2021-05-25,112
Jinotega,2021-05-27,1
Jinotega,2021-06-03,1
Jinotega,2021-06-07,3
Jinotega,2021-06-11,4
Jinotega,2021-06-14,18
Jinotega,2021-06-15,18
Jinotega,2021-06-22,19
Jinotega,2021-06-23,18
Jinotega,2021-06-24,18
Jinotega,2021-06-25,23
Jinotega,2021-06-26,18
Jinotega,2021-06-27,18
Jinotega,2021-06-29,11
Jinotega,2021-06-30,1
Jinotega,2021-07-01,1
Jinotega,2021-07-13,2
Jinotega,2021-07-19,2
Jinotega,2021-07-25,1
Jinotega,2021-08-01,1
Jinotega,2021-08-07,4
Jinotega,2021-08-08,4
Jinotega,2021-08-10,10
Jinotega,2021-08-12,1
Jinotega,2021-08-13,2
Jinotega,2021-08-16,4
Jinotega,2021-08-20,3
Jinotega,2021-08-21,2
Jinotega,2021-08-23,5
Jinotega,2021-08-26,1
Jinotega,2021-08-27,1
Jinotega,2021-08-28,2
Jinotega,2021-08-29,13
Jinotega,2021-08-30,3
Jinotega,2021-08-31,4
Jinotega,2021-09-01,2
